year,January 2d,January 3d,January 22d,January 23d,February 2d,February 3d,February 22d,February 23d,March 2d,March 3d,March 22d,March 23d,April 2d,April 3d,April 22d,April 23d,May 2d,May 3d,May 22d,May 23d,June 2d,June 3d,June 22d,June 23d,July 2d,July 3d,July 22d,July 23d,August 2d,August 3d,August 22d,August 23d,September 2d,September 3d,September 22d,September 23d,October 2d,October 3d,October 22d,October 23d,November 2d,November 3d,November 22d,November 23d,December 2d,December 3d,December 22d,December 23d
1810,7.602396578931803e-08,8.235929271904752e-08,3.801198289465901e-08,1.1403594868397704e-07,4.434731337710218e-08,1.4571260464890656e-07,6.335330482443169e-09,1.2670660964886338e-08,1.013652877190907e-07,9.502996078936121e-08,2.5341321929772676e-08,8.235929271904752e-08,1.1403594868397704e-07,3.801198289465901e-08,5.701797434198852e-08,1.013652877190907e-07,5.068264385954535e-08,6.335330482443169e-08,5.068264385954535e-08,5.701797434198852e-08,5.701797434198852e-08,8.235929271904752e-08,3.1676652412215844e-08,3.1676652412215844e-08,7.602396578931803e-08,2.5341321929772676e-08,1.9005991447329507e-08,7.602396578931803e-08,7.602396578931803e-08,8.869462675420436e-08,5.701797434198852e-08,5.068264385954535e-08,3.1676652412215844e-08,1.2670660964886338e-08,5.068264385954535e-08,0.0,4.434731337710218e-08,5.701797434198852e-08,6.335330482443169e-09,1.9005991447329507e-08,1.2670660964886338e-08,5.068264385954535e-08,1.9005991447329507e-08,6.335330482443169e-08,3.801198289465901e-08,3.801198289465901e-08,2.5341321929772676e-08,4.434731337710218e-08
1811,6.47527187425112e-08,4.316848034591203e-08,6.47527187425112e-08,1.0792120086478008e-08,3.23763593712556e-08,5.396060043239004e-09,2.1584240172956015e-08,2.1584240172956015e-08,5.396060132056846e-08,1.025251421538087e-07,0.0,7.014877922983942e-08,9.173302117915227e-08,5.396060043239004e-09,2.698030066028423e-08,1.241093769976942e-07,5.396060132056846e-08,5.935666180789667e-08,1.61881796856278e-08,5.396060132056846e-08,1.0792120264113692e-07,5.396060132056846e-08,4.8564540833240244e-08,4.8564540833240244e-08,8.633696069182406e-08,1.025251421538087e-07,5.396060132056846e-08,3.7772419858583817e-08,8.094090020449585e-08,8.094090020449585e-08,5.935666180789667e-08,4.8564540833240244e-08,3.7772419858583817e-08,3.23763593712556e-08,1.0792120086478008e-08,4.8564540833240244e-08,4.316848034591203e-08,4.8564540833240244e-08,2.1584240172956015e-08,1.61881796856278e-08,4.8564540833240244e-08,5.396060132056846e-08,1.0792120086478008e-08,4.8564540833240244e-08,1.0792120086478008e-08,4.8564540833240244e-08,0.0,2.1584240172956015e-08
1812,3.330007558588477e-08,3.8850089367770124e-08,8.32501925174256e-08,7.770017873554025e-08,2.220005157482774e-08,5.550012893706935e-09,0.0,1.110002578741387e-08,5.550013071342619e-08,4.440010314965548e-08,4.440010314965548e-08,3.8850089367770124e-08,1.0545024764496702e-07,7.770017873554025e-08,6.660015117176954e-08,7.770017873554025e-08,8.32501925174256e-08,5.550013071342619e-08,5.550013071342619e-08,7.770017873554025e-08,1.1655026810331037e-07,7.770017873554025e-08,1.1100026142685238e-07,1.2210028899062308e-07,1.387503232308518e-07,1.387503232308518e-07,5.550013071342619e-08,6.660015117176954e-08,0.0,1.2765029566708108e-07,6.105014449531154e-08,7.770017873554025e-08,1.6650037792942385e-08,4.9950116931540833e-08,0.0,2.7750065356713094e-08,3.8850089367770124e-08,3.330007558588477e-08,9.435022008119631e-08,2.7750065356713094e-08,6.660015117176954e-08,8.880020629931096e-08,3.330007558588477e-08,4.9950116931540833e-08,6.105014449531154e-08,6.105014449531154e-08,2.7750065356713094e-08,3.330007558588477e-08
1813,3.3079341932307216e-08,5.292694638114881e-08,4.631107941577284e-08,3.969520889768319e-08,5.292694638114881e-08,6.615868297643601e-09,6.615868297643601e-09,0.0,3.969520889768319e-08,8.600628831345603e-08,1.3231736595287202e-08,9.262215883154568e-08,3.3079341932307216e-08,8.600628831345603e-08,1.9847604448841594e-08,5.292694638114881e-08,6.615868386461443e-08,1.2570150431656657e-07,6.615868386461443e-08,5.292694638114881e-08,3.969520889768319e-08,1.3893323114189116e-07,1.2570150431656657e-07,4.631107941577284e-08,8.600628831345603e-08,1.3231736772922886e-07,6.615868386461443e-08,5.954281334652478e-08,3.3079341932307216e-08,3.969520889768319e-08,1.3231736595287202e-08,2.6463473190574405e-08,3.969520889768319e-08,3.3079341932307216e-08,6.615868297643601e-09,6.615868386461443e-08,3.969520889768319e-08,4.631107941577284e-08,5.292694638114881e-08,1.3231736595287202e-08,7.939041779536637e-08,5.954281334652478e-08,1.9847604448841594e-08,0.0,1.9847604448841594e-08,7.939041779536637e-08,6.615868297643601e-09,1.3231736595287202e-08
1814,2.840180002294801e-08,3.4082162869708554e-08,7.38446814807503e-08,7.38446814807503e-08,5.680360004589602e-08,5.112324075184915e-08,1.1360720364450572e-08,1.0792684435045885e-07,9.656612576236512e-08,6.816432573941711e-08,3.976252216375542e-08,7.952504432751084e-08,9.656612576236512e-08,1.4200900011474005e-07,5.112324075184915e-08,6.248396289265656e-08,1.3064828863207367e-07,1.760911629844486e-07,9.656612576236512e-08,9.656612576236512e-08,1.2496792578531313e-07,9.088576291560457e-08,7.952504432751084e-08,6.248396289265656e-08,1.5905008865502168e-07,1.7041080013768806e-07,1.476893629615006e-07,1.9313225152473024e-07,7.38446814807503e-08,9.088576291560457e-08,1.3064828863207367e-07,8.520540006884403e-08,6.816432573941711e-08,1.0792684435045885e-07,6.248396289265656e-08,6.816432573941711e-08,6.816432573941711e-08,2.840180002294801e-08,3.976252216375542e-08,3.4082162869708554e-08,8.520540006884403e-08,1.0792684435045885e-07,3.976252216375542e-08,1.7041081434854277e-08,6.816432573941711e-08,1.2496792578531313e-07,5.680360004589602e-08,2.840180002294801e-08
1815,4.2879687356389695e-08,3.06283496342985e-08,3.675401671898726e-08,3.06283496342985e-08,3.06283496342985e-08,4.900535799379213e-08,3.06283496342985e-08,4.2879687356389695e-08,1.1638772434707789e-07,4.900535799379213e-08,4.900535799379213e-08,6.738236635328576e-08,1.1638772434707789e-07,1.22513398537194e-07,3.06283496342985e-08,9.18850489028955e-08,1.776444236156749e-07,1.3476473270657152e-07,4.900535799379213e-08,1.1026205726238913e-07,1.3476473270657152e-07,1.0413638307227302e-07,7.963370762809063e-08,7.350803343797452e-08,1.1638772434707789e-07,1.1026205726238913e-07,6.738236635328576e-08,8.575937471277939e-08,5.513102863119457e-08,9.801071598758426e-08,7.963370762809063e-08,9.18850489028955e-08,4.2879687356389695e-08,1.22513398537194e-07,4.900535799379213e-08,5.513102863119457e-08,5.513102863119457e-08,2.4502678996896066e-08,6.1256697492240164e-09,5.513102863119457e-08,9.18850489028955e-08,2.2052411452477827e-07,1.2251339498448033e-08,2.4502678996896066e-08,8.575937471277939e-08,1.286390585164554e-07,4.900535799379213e-08,7.350803343797452e-08
1816,5.327892793616229e-08,8.287833708209291e-08,7.695845027910764e-08,8.287833708209291e-08,4.1439168541046456e-08,7.103857058154972e-08,5.327892793616229e-08,7.103857058154972e-08,1.0655785587232458e-07,2.0127595234953333e-07,9.471809647720875e-08,1.0063797617476666e-07,2.604747635359672e-07,1.2431749496499833e-07,2.3679524119302187e-08,8.287833708209291e-08,1.7167654675631638e-07,1.3615726857096888e-07,9.471809647720875e-08,1.3615726857096888e-07,4.735904823860437e-08,1.7167654675631638e-07,1.1839762237286777e-07,1.3615726857096888e-07,5.9198811186433886e-08,2.1311571174464916e-07,6.51186908839918e-08,1.0063797617476666e-07,9.471809647720875e-08,6.51186908839918e-08,4.1439168541046456e-08,5.327892793616229e-08,3.551928529077486e-08,8.879821677965083e-08,2.9599405593216943e-08,5.9198811186433886e-08,3.374332209205022e-07,4.084717772911972e-07,1.775964264538743e-08,1.1839762237286777e-07,1.3615726857096888e-07,7.695845027910764e-08,2.9599405593216943e-08,2.3679524119302187e-08,5.9198811186433886e-08,8.879821677965083e-08,4.735904823860437e-08,7.103857058154972e-08
1817,0.0,5.242206668754079e-08,4.717986001878671e-08,3.1453240012524475e-08,5.242206668754079e-09,2.0968826675016317e-08,4.193765335003263e-08,5.242206668754079e-09,4.193765335003263e-08,1.782350267376387e-07,6.814868669380303e-08,6.814868669380303e-08,3.6695446681278554e-08,5.766427335629487e-08,5.242206668754079e-08,5.242206668754079e-09,1.1532854671258974e-07,4.717986001878671e-08,5.242206668754079e-09,8.911751336881935e-08,1.5202400049929565e-07,4.193765335003263e-08,5.242206668754079e-08,7.339089336255711e-08,1.258129600500979e-07,5.766427335629487e-08,3.1453240012524475e-08,3.6695446681278554e-08,5.766427335629487e-08,1.0484413337508158e-08,5.242206668754079e-08,3.6695446681278554e-08,1.5726620006262237e-08,3.6695446681278554e-08,5.242206668754079e-09,1.5726620006262237e-08,5.242206668754079e-08,8.387530670006527e-08,1.0484413337508158e-08,3.6695446681278554e-08,4.193765335003263e-08,6.290648002504895e-08,3.1453240012524475e-08,0.0,2.6211033343770396e-08,3.1453240012524475e-08,1.5726620006262237e-08,2.6211033343770396e-08
1818,6.079982028950326e-08,1.2159964057900652e-07,5.14460012368545e-08,9.35381816447034e-09,1.870763632894068e-08,4.676909171053012e-08,2.338454585526506e-08,2.80614536052326e-08,1.1692272749996846e-07,1.4966109063152544e-07,7.483054531576272e-08,5.61229072104652e-08,1.3563035849983862e-07,2.05784004947418e-07,5.61229072104652e-08,1.4498418465791474e-07,7.483054531576272e-08,1.1692272749996846e-07,1.075689084473197e-07,1.5901490257874684e-07,1.5901490257874684e-07,9.821508939467094e-08,5.61229072104652e-08,1.2627654655261722e-07,1.075689084473197e-07,1.2159964057900652e-07,6.079982028950326e-08,1.2627654655261722e-07,1.02892002473709e-07,1.6369182276321226e-07,1.6369182276321226e-07,8.418436436841148e-08,8.886127034202218e-08,5.61229072104652e-08,9.35381816447034e-09,3.741527265788136e-08,5.61229072104652e-08,4.209218218420574e-08,1.40307268026163e-08,6.079982028950326e-08,3.741527265788136e-08,1.1692272749996846e-07,2.338454585526506e-08,4.676909171053012e-08,7.950745128937342e-08,7.483054531576272e-08,9.35381816447034e-09,7.015363934215202e-08
1819,7.690552905614823e-08,4.394601660351327e-08,5.493252075439159e-09,5.493252075439159e-08,2.1973008301756636e-08,2.7466260377195795e-08,0.0,2.7466260377195795e-08,1.2634480128781433e-07,1.043717929860577e-07,4.943926867895243e-08,8.239878468430106e-08,8.239878468430106e-08,6.042577638254443e-08,7.141227342799539e-08,2.1973008301756636e-08,7.141227342799539e-08,4.943926867895243e-08,3.2959512452634954e-08,2.7466260377195795e-08,1.1535829003150866e-07,7.690552905614823e-08,5.493252075439159e-08,4.394601660351327e-08,6.042577638254443e-08,4.943926867895243e-08,4.943926867895243e-08,6.591902490526991e-08,7.690552905614823e-08,4.394601660351327e-08,4.394601660351327e-08,6.591902490526991e-08,3.2959512452634954e-08,3.2959512452634954e-08,0.0,2.1973008301756636e-08,6.042577638254443e-08,4.943926867895243e-08,3.2959512452634954e-08,4.394601660351327e-08,2.1973008301756636e-08,6.042577638254443e-08,1.0986504150878318e-08,4.394601660351327e-08,3.2959512452634954e-08,1.0986504150878318e-08,2.7466260377195795e-08,4.943926867895243e-08
1820,1.2827125317471655e-07,4.551560905952101e-08,1.0758234481045292e-07,1.0758234481045292e-07,7.448008432220377e-08,1.2827125317471655e-07,4.9653390732373737e-08,1.2413347860729118e-07,1.9447577415121486e-07,2.606803093385679e-07,1.034445631376002e-07,9.103121811904202e-08,2.0275135170777503e-07,1.3240904195299663e-07,1.199956898290111e-07,1.8620021080550941e-07,1.4482239407698216e-07,1.0758234481045292e-07,7.448008432220377e-08,7.861786599505649e-08,9.930678146474747e-08,1.4896016864440753e-07,5.379117240522646e-08,1.0758234481045292e-07,9.103121811904202e-08,1.3240904195299663e-07,9.930678146474747e-08,6.206673930364559e-08,8.275564766790922e-08,1.4896016864440753e-07,7.034230264935104e-08,7.861786599505649e-08,8.275564766790922e-08,9.516899979189475e-08,4.551560905952101e-08,5.7928957630792866e-08,8.68934364461893e-08,1.6137352076839306e-07,2.4826695366186868e-08,7.034230264935104e-08,7.034230264935104e-08,7.034230264935104e-08,4.9653390732373737e-08,7.034230264935104e-08,4.137782383395461e-08,8.275564766790922e-08,6.620452097649832e-08,6.620452097649832e-08
1821,2.106459895401258e-08,1.5798448771420226e-08,0.0,2.6330749136604936e-08,4.212919790802516e-08,5.266149738503145e-09,1.5798448771420226e-08,0.0,6.31937950856809e-08,1.3165374923573836e-07,5.266149827320987e-08,1.0532299654641974e-07,8.425839581605032e-08,6.31937950856809e-08,3.6863049501789646e-08,9.479069262852136e-08,2.106459895401258e-08,1.5798448771420226e-08,5.266149827320987e-08,3.6863049501789646e-08,6.31937950856809e-08,4.739534631426068e-08,4.212919790802516e-08,5.266149827320987e-08,6.84599470446301e-08,7.372609900357929e-08,3.6863049501789646e-08,4.212919790802516e-08,5.792764667944539e-08,6.84599470446301e-08,2.6330749136604936e-08,5.266149827320987e-08,4.739534631426068e-08,2.6330749136604936e-08,2.106459895401258e-08,9.479069262852136e-08,5.266149827320987e-08,7.899224385710113e-08,5.792764667944539e-08,2.6330749136604936e-08,8.952454777499952e-08,8.952454777499952e-08,1.5798448771420226e-08,4.212919790802516e-08,2.6330749136604936e-08,9.479069262852136e-08,6.84599470446301e-08,2.6330749136604936e-08
1822,6.345335634705407e-08,2.115111819023241e-08,1.0575559095116205e-08,2.115111819023241e-08,5.992816909383691e-08,5.992816909383691e-08,3.1726678173527034e-08,3.525186542674419e-08,1.2690671269410814e-07,2.7143934744344733e-07,1.0928077642802236e-07,4.5827423633681974e-08,9.87052146683709e-08,1.1280596368123952e-07,2.4676303667092725e-08,7.755409825449533e-08,5.992816909383691e-08,5.992816909383691e-08,5.2877794587402605e-08,2.4676303667092725e-08,7.402891100127817e-08,7.402891100127817e-08,3.525186542674419e-08,4.230223638046482e-08,6.697854360027122e-08,7.050373085348838e-08,5.2877794587402605e-08,2.820149092030988e-08,4.230223638046482e-08,4.935260733418545e-08,5.640298184061976e-08,5.992816909383691e-08,2.115111819023241e-08,9.165484726736395e-08,2.820149092030988e-08,5.2877794587402605e-08,4.230223638046482e-08,5.640298184061976e-08,2.4676303667092725e-08,5.2877794587402605e-08,7.755409825449533e-08,7.755409825449533e-08,6.697854360027122e-08,8.107928550771248e-08,4.230223638046482e-08,2.115111819023241e-08,4.935260733418545e-08,2.4676303667092725e-08
1823,7.526274714564352e-09,3.0105098858257406e-08,6.021019771651481e-08,3.763137357282176e-08,3.0105098858257406e-08,7.902588095021201e-08,0.0,0.0,2.634196150097523e-08,7.526274714564352e-08,3.386823621553958e-08,4.1394510930103934e-08,4.8920785644668285e-08,6.021019771651481e-08,3.0105098858257406e-08,1.881568678641088e-08,5.268392300195046e-08,1.2042039543302963e-07,2.2578824143693055e-08,2.1449882581237034e-07,3.386823621553958e-08,4.515764828738611e-08,3.0105098858257406e-08,3.386823621553958e-08,1.0160471219933243e-07,4.1394510930103934e-08,6.773647243107916e-08,4.1394510930103934e-08,3.763137357282176e-09,6.397333152108331e-08,1.881568678641088e-08,4.8920785644668285e-08,2.634196150097523e-08,3.0105098858257406e-08,2.2578824143693055e-08,1.1289412071846527e-08,6.773647243107916e-08,1.0536784600390092e-07,7.526274714564352e-09,1.881568678641088e-08,7.526274714564352e-08,3.386823621553958e-08,7.526274714564352e-09,2.2578824143693055e-08,0.0,9.031529657477222e-08,3.763137357282176e-09,4.8920785644668285e-08
1824,3.400806392050981e-08,2.7824780701735108e-08,4.328299141320713e-08,1.8549853209037792e-08,1.2366569102084668e-08,4.0191348915641356e-08,2.7824780701735108e-08,6.183284551042334e-09,4.328299141320713e-08,8.965762532398003e-08,3.091642142294404e-08,3.7099706418075584e-08,5.5649561403470216e-08,5.2557918905904444e-08,4.328299141320713e-08,5.874120390103599e-08,6.801612784101962e-08,8.347434032884848e-08,3.091642142294404e-08,3.091642142294404e-08,4.63746339107729e-08,5.874120390103599e-08,3.7099706418075584e-08,2.1641495706603564e-08,8.656598282641426e-08,4.0191348915641356e-08,9.584091031911157e-08,6.183284284588808e-08,6.183284551042334e-09,3.7099706418075584e-08,3.091642142294404e-08,4.0191348915641356e-08,1.8549853209037792e-08,2.1641495706603564e-08,1.545821071147202e-08,9.274926604518896e-09,3.091642142294404e-08,4.0191348915641356e-08,2.4733138204169336e-08,3.091642142294404e-08,5.5649561403470216e-08,4.63746339107729e-08,2.7824780701735108e-08,3.091642142294404e-08,1.8549853209037792e-08,1.2366569102084668e-08,1.2366569102084668e-08,1.545821071147202e-08
